,Date,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
5353,2019-04-12,120.64,120.98,120.37,120.95,120.95,19718151.0,0.0
5352,2019-04-11,120.54,120.85,119.92,120.33,120.33,14209121.0,0.0
5351,2019-04-10,119.76,120.35,119.54,120.19,120.19,16477169.0,0.0
5350,2019-04-09,118.63,119.54,118.58,119.28,119.28,17611981.0,0.0
5349,2019-04-08,119.81,120.02,118.64,119.93,119.93,15116186.0,0.0
5348,2019-04-05,119.39,120.23,119.37,119.89,119.89,15826245.0,0.0
5347,2019-04-04,120.1,120.23,118.38,119.36,119.36,20112848.0,0.0
5346,2019-04-03,119.86,120.43,119.15,119.97,119.97,22860744.0,0.0
5345,2019-04-02,119.06,119.48,118.52,119.19,119.19,18142297.0,0.0
5344,2019-04-01,118.95,119.1085,118.1,119.02,119.02,22789103.0,0.0
5343,2019-03-29,118.07,118.32,116.96,117.94,117.94,25399752.0,0.0
5342,2019-03-28,117.44,117.58,116.13,116.93,116.93,18334755.0,0.0
5341,2019-03-27,117.875,118.21,115.5215,116.77,116.77,22733427.0,0.0
5340,2019-03-26,118.62,118.705,116.85,117.91,117.91,26097665.0,0.0
5339,2019-03-25,116.56,118.01,116.3224,117.66,117.66,27067117.0,0.0
5338,2019-03-22,119.5,119.59,117.04,117.05,117.05,33624528.0,0.0
5337,2019-03-21,117.135,120.82,117.09,120.22,120.22,29854446.0,0.0
5336,2019-03-20,117.39,118.75,116.71,117.52,117.52,28113343.0,0.0
5335,2019-03-19,118.09,118.44,116.99,117.65,117.65,37588697.0,0.0
5334,2019-03-18,116.17,117.61,116.05,117.57,117.57,31207596.0,0.0
5333,2019-03-15,115.34,117.25,114.59,115.91,115.91,54630661.0,0.0
5332,2019-03-14,114.54,115.2,114.33,114.59,114.59,30763367.0,0.0
5331,2019-03-13,114.13,115.0,113.78,114.5,114.5,35513771.0,0.0
5330,2019-03-12,112.82,113.99,112.6499,113.62,113.62,26132717.0,0.0
5329,2019-03-11,110.99,112.95,110.98,112.83,112.83,26491618.0,0.0
5328,2019-03-08,109.16,110.71,108.8,110.51,110.51,22818430.0,0.0
5327,2019-03-07,111.4,111.55,109.865,110.39,110.39,25338954.0,0.0
5326,2019-03-06,111.87,112.66,111.43,111.75,111.75,17686996.0,0.0
5325,2019-03-05,112.25,112.39,111.23,111.7,111.7,19538318.0,0.0
5324,2019-03-04,113.02,113.25,110.8,112.26,112.26,26608014.0,0.0
5323,2019-03-01,112.89,113.02,111.665,112.53,112.53,23501169.0,0.0
5322,2019-02-28,112.04,112.88,111.73,112.03,112.03,29083934.0,0.0
5321,2019-02-27,111.69,112.36,110.88,112.17,112.17,21487062.0,0.0
5320,2019-02-26,111.26,113.24,111.17,112.36,112.36,21536733.0,0.0
5319,2019-02-25,111.76,112.18,111.26,111.59,111.59,23750599.0,0.0
5318,2019-02-22,110.05,111.2,109.82,110.97,110.97,27763218.0,0.0
5317,2019-02-21,106.9,109.48,106.87,109.41,109.41,29063231.0,0.0
5316,2019-02-20,107.86,107.94,106.29,107.15,107.15,21607671.0,0.46
5315,2019-02-19,107.79,108.66,107.78,108.17,107.7076,18038460.0,0.0
5314,2019-02-15,107.91,108.3,107.3624,108.22,107.7574,26606886.0,0.0
5313,2019-02-14,106.31,107.29,105.66,106.9,106.443,21784703.0,0.0
5312,2019-02-13,107.5,107.78,106.71,106.81,106.3534,18394869.0,0.0
5311,2019-02-12,106.14,107.14,105.48,106.89,106.4331,25056595.0,0.0
5310,2019-02-11,106.2,106.58,104.965,105.25,104.8001,18914123.0,0.0
5309,2019-02-08,104.39,105.78,104.2603,105.67,105.2183,21461093.0,0.0
5308,2019-02-07,105.185,105.59,104.29,105.27,104.82,29760697.0,0.0
5307,2019-02-06,107.0,107.0,105.53,106.03,105.5768,20609759.0,0.0
5306,2019-02-05,106.06,107.27,105.96,107.22,106.7617,27325365.0,0.0
5305,2019-02-04,102.87,105.8,102.77,105.74,105.288,31315282.0,0.0
5304,2019-02-01,103.775,104.0999,102.35,102.78,102.3406,35535690.0,0.0
5303,2019-01-31,103.8,105.22,103.18,104.43,103.9836,55636391.0,0.0
5302,2019-01-30,104.62,106.38,104.33,106.38,105.9253,49471866.0,0.0
5301,2019-01-29,104.88,104.97,102.17,102.94,102.5,31490547.0,0.0
5300,2019-01-28,106.26,106.48,104.66,105.08,104.6308,29476719.0,0.0
5299,2019-01-25,107.24,107.88,106.59,107.17,106.7119,31218193.0,0.0
5298,2019-01-24,106.86,107.0,105.34,106.2,105.746,23164838.0,0.0
5297,2019-01-23,106.12,107.04,105.34,106.71,106.2538,25874294.0,0.0
5296,2019-01-22,106.75,107.1,104.86,105.68,105.2283,32371253.0,0.0
5295,2019-01-18,107.46,107.9,105.91,107.71,107.2496,37427587.0,0.0
5294,2019-01-17,105.0,106.625,104.76,106.12,105.6664,28393015.0,0.0
5293,2019-01-16,105.26,106.255,104.96,105.38,104.9295,29853865.0,0.0
5292,2019-01-15,102.51,105.05,101.88,105.01,104.5611,31587616.0,0.0
5291,2019-01-14,101.9,102.8716,101.26,102.05,101.6138,28437079.0,0.0
5290,2019-01-11,103.19,103.44,101.64,102.8,102.3606,28314202.0,0.0
5289,2019-01-10,103.22,103.75,102.38,103.6,103.1571,30067556.0,0.0
5288,2019-01-09,103.86,104.88,103.2445,104.27,103.8243,32280840.0,0.0
5287,2019-01-08,103.04,103.97,101.7134,102.8,102.3606,31514415.0,0.0
5286,2019-01-07,101.64,103.2681,100.98,102.06,101.6237,35656136.0,0.0
5285,2019-01-04,99.72,102.51,98.93,101.93,101.4943,44060620.0,0.0
5284,2019-01-03,100.1,100.185,97.2,97.4,96.9836,42578410.0,0.0
5283,2019-01-02,99.55,101.75,98.94,101.12,100.6877,35329345.0,0.0
5282,2018-12-31,101.29,102.4,100.44,101.57,101.1358,33173765.0,0.0
5281,2018-12-28,102.09,102.41,99.52,100.39,99.9609,38169312.0,0.0
5280,2018-12-27,99.3,101.19,96.4,101.18,100.7475,49498509.0,0.0
5279,2018-12-26,95.14,100.69,93.96,100.56,100.1301,51634793.0,0.0
5278,2018-12-24,97.68,97.97,93.98,94.13,93.7276,43935192.0,0.0
5277,2018-12-21,101.63,103.0,97.46,98.23,97.8101,111242070.0,0.0
5276,2018-12-20,103.05,104.31,98.78,101.51,101.0761,70334184.0,0.0
5275,2018-12-19,103.65,106.88,101.35,103.69,103.2468,68198186.0,0.0
5274,2018-12-18,103.75,104.51,102.52,103.97,103.5256,49319196.0,0.0
5273,2018-12-17,105.41,105.8,101.71,102.89,102.4502,56957314.0,0.0
5272,2018-12-14,108.25,109.26,105.5,106.03,105.5768,47043136.0,0.0
5271,2018-12-13,109.58,110.87,108.63,109.45,108.9821,31333362.0,0.0
5270,2018-12-12,110.89,111.27,109.04,109.08,108.6137,36183020.0,0.0
5269,2018-12-11,109.8,110.95,107.44,108.59,108.1258,42381947.0,0.0
5268,2018-12-10,104.8,107.98,103.89,107.59,107.1301,40801525.0,0.0
5267,2018-12-07,108.38,109.45,104.3,104.82,104.3719,45044937.0,0.0
5266,2018-12-06,105.82,109.24,105.0,109.19,108.7232,49107431.0,0.0
5265,2018-12-04,111.94,112.6373,108.2115,108.52,108.0561,45196984.0,0.0
5264,2018-12-03,113.0,113.42,110.73,112.09,111.6108,34732772.0,0.0
5263,2018-11-30,110.7,110.97,109.36,110.89,110.416,33665624.0,0.0
5262,2018-11-29,110.33,111.115,109.03,110.19,109.719,28123195.0,0.0
5261,2018-11-28,107.89,111.33,107.86,111.12,110.645,46788461.0,0.0
5260,2018-11-27,106.27,107.33,105.36,107.14,106.682,29124486.0,0.0
5259,2018-11-26,104.79,106.63,104.58,106.47,106.0149,32336165.0,0.0
5258,2018-11-23,102.17,103.8099,102.0,103.07,102.6294,13823099.0,0.0
5257,2018-11-21,103.6,104.43,102.24,103.11,102.6692,28130621.0,0.0
5256,2018-11-20,101.8,102.97,99.3528,101.71,101.2752,64052457.0,0.0
5255,2018-11-19,108.27,108.56,103.55,104.62,104.1728,44773899.0,0.0
5254,2018-11-16,107.08,108.88,106.8,108.29,107.8271,33502121.0,0.0
5253,2018-11-15,104.99,107.8,103.91,107.28,106.8214,38505165.0,0.0
5252,2018-11-14,108.1,108.26,104.47,104.97,104.5213,39495141.0,0.46
5251,2018-11-13,107.55,108.74,106.64,106.94,106.0183,35374583.0,0.0
5250,2018-11-12,109.42,109.96,106.1,106.87,105.9489,33621807.0,0.0
5249,2018-11-09,110.85,111.45,108.76,109.57,108.6256,32039223.0,0.0
5248,2018-11-08,111.8,112.21,110.91,111.75,110.7868,25644105.0,0.0
5247,2018-11-07,109.44,112.24,109.4,111.96,110.995,37901704.0,0.0
5246,2018-11-06,107.38,108.84,106.28,107.72,106.7915,24340248.0,0.0
5245,2018-11-05,106.37,107.74,105.9,107.51,106.5834,27922144.0,0.0
5244,2018-11-02,106.48,107.32,104.975,106.16,105.245,37680194.0,0.0
5243,2018-11-01,107.05,107.32,105.53,105.92,105.0071,33384201.0,0.0
5242,2018-10-31,105.435,108.14,105.39,106.81,105.8894,51062383.0,0.0
5241,2018-10-30,103.66,104.38,100.11,103.73,102.8359,65350878.0,0.0
5240,2018-10-29,108.105,108.7,101.63,103.85,102.9549,55162001.0,0.0
5239,2018-10-26,105.69,108.75,104.76,106.96,106.0381,55523104.0,0.0
5238,2018-10-25,106.55,109.27,106.15,108.3,107.3665,61646819.0,0.0
5237,2018-10-24,108.41,108.49,101.5901,102.32,101.4381,63897759.0,0.0
5236,2018-10-23,107.77,108.97,105.11,108.1,107.1683,43770429.0,0.0
5235,2018-10-22,109.32,110.54,108.24,109.63,108.6851,26545607.0,0.0
5234,2018-10-19,108.93,110.86,108.21,108.66,107.7234,32785475.0,0.0
5233,2018-10-18,110.1,110.53,107.83,108.5,107.5648,32506192.0,0.0
5232,2018-10-17,111.68,111.81,109.5482,110.71,109.7558,26548243.0,0.0
5231,2018-10-16,109.54,111.41,108.95,111.0,110.0433,31610164.0,0.0
5230,2018-10-15,108.91,109.48,106.9468,107.6,106.6726,32068103.0,0.0
5229,2018-10-12,109.01,111.24,107.12,109.57,108.6256,47742109.0,0.0
5228,2018-10-11,105.35,108.93,104.2,105.91,104.9971,63904282.0,0.0
5227,2018-10-10,111.24,111.5,105.79,106.16,105.245,61376300.0,0.0
5226,2018-10-09,111.14,113.08,110.8,112.26,111.2924,26198594.0,0.0
5225,2018-10-08,111.66,112.03,109.34,110.85,109.8946,29640588.0,0.0
5224,2018-10-05,112.63,113.17,110.64,112.13,111.1635,29068859.0,0.0
5223,2018-10-04,114.61,114.7588,111.63,112.79,111.8178,34821717.0,0.0
5222,2018-10-03,115.42,116.18,114.93,115.17,114.1773,16648018.0,0.0
5221,2018-10-02,115.3,115.84,114.44,115.15,114.1575,20787239.0,0.0
5220,2018-10-01,114.75,115.68,114.73,115.61,114.6135,18883079.0,0.0
5219,2018-09-28,114.19,114.57,113.68,114.37,113.3842,21647811.0,0.0
5218,2018-09-27,114.78,114.91,114.2,114.41,113.4239,19091299.0,0.0
5217,2018-09-26,114.47,115.055,113.74,113.98,112.9976,19352025.0,0.0
5216,2018-09-25,114.8,115.1,113.75,114.45,113.4635,22668014.0,0.0
5215,2018-09-24,113.03,114.9,112.2175,114.67,113.6816,27334460.0,0.0
5214,2018-09-21,114.0,115.29,113.51,114.26,113.2752,71229698.0,0.0
5213,2018-09-20,112.28,113.8,111.93,113.57,112.5911,23714512.0,0.0
5212,2018-09-19,113.05,113.32,111.035,111.7,110.7372,21728429.0,0.0
5211,2018-09-18,112.19,113.695,111.72,113.21,112.2342,22170934.0,0.0
5210,2018-09-17,113.69,113.7,111.86,112.14,111.1735,20736516.0,0.0
5209,2018-09-14,113.36,113.73,112.44,113.37,112.3928,19122349.0,0.0
5208,2018-09-13,112.12,113.725,112.12,112.91,111.9368,26055620.0,0.0
5207,2018-09-12,111.43,111.85,110.51,111.71,110.7472,18891064.0,0.0
5206,2018-09-11,108.9,111.59,108.89,111.24,110.2812,24301774.0,0.0
5205,2018-09-10,108.84,109.64,108.36,109.38,108.4372,20727906.0,0.0
5204,2018-09-07,108.23,108.7248,107.23,108.21,107.2773,22498646.0,0.0
5203,2018-09-06,108.25,108.99,107.51,108.74,107.8028,23477624.0,0.0
5202,2018-09-05,111.01,111.42,108.1,108.49,107.5549,32872352.0,0.0
5201,2018-09-04,110.85,111.955,110.22,111.71,110.7472,22634641.0,0.0
5200,2018-08-31,111.685,112.777,111.515,112.33,111.3618,23222713.0,0.0
5199,2018-08-30,111.67,112.61,111.44,111.95,110.9851,22798702.0,0.0
5198,2018-08-29,110.45,112.03,110.27,112.02,111.0545,20818044.0,0.0
5197,2018-08-28,109.94,110.5,109.79,110.26,109.3097,19151528.0,0.0
5196,2018-08-27,109.27,109.64,108.51,109.6,108.6553,19662331.0,0.0
5195,2018-08-24,107.67,108.56,107.56,108.4,107.4657,17234020.0,0.0
5194,2018-08-23,107.15,108.18,106.87,107.56,106.6329,18167723.0,0.0
5193,2018-08-22,105.85,107.34,105.78,107.06,106.1372,18000639.0,0.0
5192,2018-08-21,106.92,107.35,105.85,105.98,105.0665,22881861.0,0.0
5191,2018-08-20,107.51,107.9,106.48,106.87,105.9489,17914201.0,0.0
5190,2018-08-17,107.36,107.9,106.69,107.58,106.6528,18061512.0,0.0
5189,2018-08-16,108.3,108.86,107.3,107.64,106.7122,21384289.0,0.0
5188,2018-08-15,108.49,108.985,106.82,107.66,106.7321,29982806.0,0.42
5187,2018-08-14,108.56,109.75,108.04,109.56,108.1936,16788314.0,0.0
5186,2018-08-13,109.24,109.58,108.1,108.21,106.8604,18474884.0,0.0
5185,2018-08-10,109.42,109.69,108.38,109.0,107.6406,18183724.0,0.0
5184,2018-08-09,109.71,110.16,109.6,109.67,108.3022,13677211.0,0.0
5183,2018-08-08,109.33,109.75,108.7599,109.49,108.1245,15487502.0,0.0
